StarID,Distance,AbsMag,Spectrum,ColorIndex,X,Y,Z
0,0.000004848,4.85,G2V,0.656,0,0,0
1,282.4858757,1.84501631,F5,0.482,282.43485,0.00449,5.36884
2,45.66210046,5.972220574,K3V,0.999,43.04329,0.00285,-15.24144
3,355.8718861,-1.1464684,B9,-0.019,277.11358,0.02422,223.27753
4,129.0322581,2.506508513,F0V,0.37,79.62896,0.01164,-101.53103
5,348.4320557,0.839409484,G8III,0.902,264.58918,0.04601,-226.71007
6,53.19148936,8.680789246,M0V:,1.336,53.06535,0.0168,3.66089
7,56.36978579,5.884768077,G0,0.74,52.95794,0.02084,19.31343
8,193.4235977,2.617452715,M6e-M8.5e Tc,1.102,174.01562,0.08288,84.44669
9,207.9002079,2.000725382,G5,1.067,166.9363,0.10297,123.9143
10,92.93680297,3.749061357,F6V,0.489,58.65441,0.03711,-72.08957
11,233.1002331,0.502286461,A2,0.081,159.15237,0.1036,170.31215
12,246.3054187,1.472630168,K4III,1.484,199.36567,0.14237,-144.63632
13,286.5329513,1.514127135,K0III,1.128,264.5403,0.19243,-110.08871
14,195.6947162,0.792104501,K0,1.2,195.69077,0.16486,-1.23101
15,408.1632653,0.545830422,K2,1.166,258.01976,0.22655,316.26412
16,162.601626,2.094375579,F3V,0.425,124.20847,0.11077,-104.93583
17,1886.792453,0.331379348,,0.421,1084.53445,0.97309,-1543.94618
18,50.17561465,7.527536494,K5,1.567,50.05006,0.04641,-3.54701
19,242.7184466,-0.39551392,G5,0.955,190.46888,0.17724,150.44538
20,92.93680297,3.669061357,G0,0.516,85.20962,0.09361,37.10201
21,171.2328767,1.382064236,K2,1.438,169.56332,0.19602,23.85242
22,223.7136465,1.941537616,G8/K0III/IV,0.962,145.72842,0.17838,-169.738
23,81.9000819,3.00357832,F2V,0.456,79.69934,0.10353,18.85807
24,102.7749229,3.990564201,G0V,0.528,94.28446,0.12514,-40.90366
25,72.78020378,1.969933664,G3IV,0.763,52.09682,0.07216,-50.82198
26,108.8139282,3.946577557,F7V,0.535,105.85439,0.15582,-25.20501
27,103.5196687,4.244885632,G5V,0.671,77.77346,0.11601,-68.31981
28,177.3049645,2.58639552,F3/F5V,0.468,128.90634,0.19629,-121.7381
29,350.877193,1.4142243,G8III,1.041,229.69649,0.36935,-265.24363
30,263.8522427,1.15319605,A0,0.142,195.64354,0.32826,177.03531
31,543.4782609,-1.045910885,K2,1.453,542.88504,0.92945,25.36898
32,322.5806452,1.546808469,B8,0.04,198.86852,0.34217,253.98713
33,111.8568233,2.856687594,F2,0.466,109.99693,0.1904,-20.31221
34,78.67820614,1.950727753,F7.5IV-V,0.514,70.15358,0.12179,35.61908
35,167.7852349,2.946231299,G8/K0III/IV,0.916,162.44759,0.29078,-41.98307
36,158.7301587,1.676702747,K0,1.15,155.10574,0.27957,33.72526
37,267.3796791,3.304358011,F0V,0.391,181.73838,0.33416,-196.1197
38,41.94630872,5.536531255,G6V,0.778,7.95927,0.01542,-41.18425
39,91.07468124,2.663011701,F3V,0.475,87.23461,0.17031,-26.16659
40,292.3976608,1.37013053,A0,0.026,170.61645,0.3471,237.45798
41,10000000,-4.39,B...,0.57,3872445.3,8243.56549,9219766.778
42,156.7398119,2.224103394,F2,0.387,141.06209,0.3087,68.32831
43,131.061599,0.59262269,G9III-IV,1.032,66.40084,0.1496,112.99578
44,414.9377593,-0.179914787,K2,1.104,414.24595,0.95957,-23.93148
45,66.22516556,5.484884736,G6/G8V:,,20.24168,0.04741,-63.05588
46,840.3361345,-1.052265193,K1III,1.035,757.69929,1.77926,-363.39157
47,40.8997955,7.721394317,K3V,1.15,22.3741,0.05279,-34.23726
48,537.6344086,-1.342435279,K0/K1III,1.164,407.65642,0.9621,-350.52257
49,628.9308176,0.536985622,F5,0.45,602.49989,1.46693,180.40426
50,59.20663114,2.628148248,G1IV,0.616,35.55067,0.08864,-47.34518
51,2439.02439,-2.996080716,K0,0.906,2438.59447,6.10292,45.38433
52,253.164557,1.542985478,A4V,0.196,56.86273,0.14555,-246.69596
53,10000000,-4.04,,,8723789.707,22441.50475,-4888250.149
54,47.68717215,7.177992152,M:,1.03,45.36101,0.12006,14.71157
55,68.21282401,3.230669852,G2IV/V,0.551,26.99964,0.07437,-62.64186
56,288.184438,0.821647374,K0,1.329,288.18109,0.81899,1.12132
57,29.50722927,5.920357844,K2V,0.863,10.24875,0.0301,-27.67017
58,38.37298542,4.129872057,G0,0.52,17.91077,0.05431,33.93651
59,10000000,-5.91,B5,0.091,5631995.263,17147.68967,8263191.594
60,161.8122977,2.294942375,F2IV,0.386,69.74876,0.21355,-146.00782
61,178.5714286,2.600940135,K5,1.081,105.40899,0.32408,144.14088
62,189.3939394,1.883169613,G8III,0.994,132.92937,0.41752,-134.90615
63,207.9002079,-0.229274618,B9p SiEu,-0.047,146.35548,0.46425,147.6562
64,289.8550725,0.769095475,K2III,1.156,256.14475,0.82521,-135.66556
65,58.89281508,7.14968843,,1.147,33.92205,0.11129,-48.14193
66,122.2493888,3.113766518,F2V,0.401,37.13055,0.12218,-116.47411
67,133.6898396,2.199507989,F5,0.495,122.56525,0.42591,53.39053
68,31.44654088,6.3021356,K0,0.94,30.07406,0.10531,9.18828
69,157.480315,2.343868626,A0,0.135,135.83379,0.4774,79.68061
70,190.4761905,4.020796517,,0.706,152.56382,0.54,114.0402
71,109.5290252,3.062353888,G5,0.846,87.72547,0.31709,65.58008
72,94.07337723,4.102666323,G3/G5V,0.671,91.72447,0.35134,-20.88771
73,251.8891688,-0.106047466,K2,1.446,99.0351,0.38105,231.60322
74,41.28819158,6.850870694,K5,1.068,33.50702,0.12975,24.1242
75,625,-1.559400087,K4III,1.524,397.9963,1.55016,-481.89369
76,436.6812227,0.829177412,M0,1.67,366.9507,1.46163,236.71826
77,283.286119,1.148873527,A0V,0.022,245.17219,0.98642,-141.91775
78,854.7008547,-1.599070691,K0,1.203,813.46917,3.29833,262.24143
79,218.8183807,1.989581,F5,0.529,178.54741,0.73457,126.49808
80,64.14368185,4.364230576,G2V,0.566,62.7822,0.26494,-13.14292
81,42.68032437,5.418861443,G5,0.642,42.5219,0.18098,-3.66945
82,549.4505495,0.80035694,G5,1.107,539.46766,2.33535,-104.23574
83,438.5964912,0.639674235,M0,1.726,269.53819,1.16706,345.99809
84,52.91005291,5.992309021,K0,0.852,46.76553,0.20552,24.74704
85,256.4102564,3.575323035,A2,0.359,232.92221,1.04074,-107.20252
86,288.184438,0.751647374,B9,0.018,100.43551,0.45643,270.11621
87,221.2389381,1.075692174,F5,0.43,220.09036,1.00456,-22.49194
88,167.5041876,-0.410128344,G8III,0.911,110.31033,0.51821,-126.05163
89,384.6153846,-0.05513326,K2,1.566,230.56864,1.11531,307.84062
90,106.9518717,2.494058054,F5IV/V,0.5,79.62023,0.3891,-71.40847
91,237.5296912,0.781410479,K0,1.3,236.27953,1.15703,-24.31043
92,209.6436059,2.072591895,G8III,0.944,196.10011,0.99469,-74.12286
